132,Administración de Asuntos Energéticos
029,Administración de Asuntos Federales de Puerto Rico
079,Administración de Compensaciones por Accidentes de Automóviles
127,Administración de Desarrollo Socioeconómico de la Familia
123,Administración de Familias y Niños
133,Administración de Recursos Naturales
126,Administración de Rehabilitación Vocacional
187,Administración de Seguros de Salud de Puerto Rico
031,Administración de Servicios Generales
090,Administración de Servicios Médicos de Puerto Rico
095,Administración de Servicios de Salud Mental y Contra la Adicción
177,Administración de Terrenos
106,Administración de Vivienda Pública
089,Administración de la Industria y el Deporte Hípico
241,Administración para el Cuidado y Desarrollo Integral de la Niñez (ACUDEN)
277,Administración para el Desarrollo de Empresas Agropecuarias
124,Administración para el Sustento de Menores
021,Agencia Estatal para el Manejo de Emergencias y Administración de Desastres
017,Asignaciones bajo la Custodia de la Oficina de Gerencia y Presupuesto
174,Autoridad Metropolitana de Autobuses
163,Autoridad de Acueductos y Alcantarillados
066,Autoridad de Carreteras y Transportación
186,Autoridad de Conservación y Desarrollo de Culebra
184,Autoridad de Desperdicios Sólidos de Puerto Rico
162,Autoridad de Edificios Públicos
169,Autoridad de Energía Eléctrica
165,Autoridad de Tierras de Puerto Rico
178,Autoridad de Transporte Marítimo de Puerto Rico y las Islas Municipio
168,Autoridad de los Puertos
303,Autoridad del Distrito del Centro de Convenciones
238,Autoridad del Puerto de las Américas
211,"Autoridad para el Financiamiento de Facilidades Industriales, Turísticas, Educativas, Médicas y de Control Ambiental (AFICA)"
161,Autoridad para el Financiamiento de la Infraestructura de Puerto Rico
235,Autoridad para el Financiamiento de la Vivienda
265,Autoridad para el Redesarrollo de los Terrenos y Facilidades de la Estación Naval Roosevelt Roads
276,Autoridad para las Alianzas Público Privadas
172,Banco Gubernamental de Fomento para Puerto Rico
195,Banco de Desarrollo Económico para Puerto Rico
257,Colegio Universitario de Justicia Criminal
279,Comisión Apelativa del Servicio Público
028,Comisión Estatal de Elecciones
105,Comisión Industrial
037,Comisión de Derechos Civiles
062,Comisión de Desarrollo Cooperativo de Puerto Rico
034,"Comisión de Investigación, Procesamiento y Apelación"
065,Comisión de Servicio Público
011,Comisión para la Seguridad en el Tránsito
258,Compañía de Comercio y Exportación de Puerto Rico
166,Compañía de Fomento Industrial
233,Compañía de Parques Nacionales de Puerto Rico
180,Compañía de Turismo de Puerto Rico
167,Compañía para el Desarrollo Integral de la Península de Cantera
181,Consejo de Desarrollo Ocupacional y Recursos Humanos cambiara a  181-Administración de Desarrollo Laboral
278,Consejo de Educación de Puerto Rico
212,Corporación Pública para la Supervisión y Seguro de Cooperativas de Puerto Rico(COSSEC)
135,Corporación de Empresas de Adiestramiento y Trabajo
175,"Corporación de Industrias de Ciegos, Personas Mentalmente Retardadas y Otras Personas Incapacitadas de Puerto Rico"
196,Corporación de Puerto Rico para la Difusión Pública
198,Corporación de Seguros Agrícolas
191,Corporación de las Artes Musicales
188,Corporación del Centro Cardiovascular de Puerto Rico y del Caribe
192,Corporación del Centro de Bellas Artes de Puerto Rico
215,Corporación del Conservatorio de Música de Puerto Rico
070,Corporación del Fondo del Seguro del Estado
264,Corporación del Proyecto ENLACE del Caño Martín Peña
234,"Corporación para el Desarrollo de las Artes, Ciencias e Industria Cinematográfica de Puerto Rico"
042,Cuerpo de Bomberos de Puerto Rico
221,Cuerpo de Emergencias Médicas de Puerto Rico
055,Departamento de Agricultura
069,Departamento de Asuntos del Consumidor
137,Departamento de Corrección y Rehabilitación
119,Departamento de Desarrollo Económico y Comercio
081,Departamento de Educación
023,Departamento de Estado
024,Departamento de Hacienda
038,Departamento de Justicia
087,Departamento de Recreación y Deportes
